'id','name','description'
'T1001','Data Obfuscation','Adversaries may obfuscate command and control traffic to make it more difficult to detect. Command and control (C2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. This encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols.'
'T1001.001','Data Obfuscation','Junk Data'
'T1001.002','Data Obfuscation','Steganography'
'T1001.003','Data Obfuscation','Protocol Impersonation'
'T1002','Data Compressed',
'T1003','OS Credential Dumping','Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password, from the operating system and software. Credentials can then be used to perform Lateral Movement and access restricted information.'
'T1003.001','OS Credential Dumping','LSASS Memory'
'T1003.002','OS Credential Dumping','Security Account Manager'
'T1003.003','OS Credential Dumping','NTDS'
'T1003.004','OS Credential Dumping','LSA Secrets'
'T1003.005','OS Credential Dumping','Cached Domain Credentials'
'T1003.006','OS Credential Dumping','DCSync'
'T1003.007','OS Credential Dumping','Proc Filesystem'
'T1003.008','OS Credential Dumping','/etc/passwd and /etc/shadow'
'T1004','Winlogon Helper DLL',
'T1005','Data from Local System','Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration.'
'T1006','Direct Volume Access','Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structures. This technique bypasses Windows file access controls as well as file system monitoring tools.'
'T1007','System Service Discovery','Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as sc query, tasklist /svc, systemctl --type=service, and net start.'
'T1008','Fallback Channels','Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.'
'T1010','Application Window Discovery','Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used. For example, information about application windows could be used identify potential data to collect as well as identifying security tooling (Security Software Discovery) to evade.'
